Unnamed: 0,system,e_above,e_above_im,hmix,stability,phase,cost,bcc_delta,hcp_delta,decomposition,Tm,T,density,youngs,delta_r,gam_r,chi,lambda_s,vec,hmix_m,omega,tann_s,im_eform,kappa,him_hmix,m1,m2,m3,m4,m6,m7,mvec
89423,Mn-Nb-Os-Re,-0.087,-0.085,-0.383,stable,BCC,3624.13,-0.138,-0.039,['Mn1Nb1Os1Re1_SS_BCC'],2758,2483,14.785150169204735,322.75,4.065578140908704,1.124764770245576,0.2607081701826776,0.6973438401646472,6.75,-22.825,1.3927561023410917,-0.2965212142959911,-0.2704666025000009,1.5013921968427928,1.084084278854308,stable,unstable,unstable,unstable,stable,stable,BCC
89426,Mn-Nb-Os-Rh,-0.07,-0.058,-0.431,stable,BCC,4805.99,-0.075,-0.029,['Mn1Nb1Os1Rh1_SS_BCC'],2453,2208,12.64277307912844,275.75,4.065578140908704,1.124764770245576,0.3341687447981932,0.6973438401646472,7.25,-30.75,0.91948367394954,-0.2637297094518007,-0.5250592991666672,1.3310141226218344,0.9781114671878594,unstable,unstable,unstable,unstable,unstable,stable,IM
89428,Ni-Pd-Pt-Zn,-0.038,-0.038,-0.241,stable,FCC,12086.93,0.034,0.011,['Ni1Pd1Pt1Zn1_SS_FCC'],1573,1415,12.742706586826346,149.25,1.58903743813658,1.0401084395376567,0.2492990172463582,4.5648166198326185,10.5,-18.25,0.993476155851002,-0.1691181544915134,-0.5761628924999997,1.3576514161063606,2.058755640573533,unstable,unstable,unstable,stable,unstable,unstable,FCC
89431,Mo-Nb-Rh-Ta,-0.1,-0.1,-0.338,stable,BCC,2117.56,-0.163,-0.051,['Mo1Nb1Rh1Ta1_SS_BCC'],2793,2514,12.015753940010168,223.75,3.0386856273138103,1.0794013866540748,0.3395217224272991,1.248303105617051,6.25,-28.95,1.1120234919595513,-0.3002841738682753,-0.6123632125,1.4003284571054384,1.4279293104902095,stable,unstable,unstable,stable,unstable,unstable,BCC
89432,Mn-Nb-Os-Ru,-0.088,-0.082,-0.46,stable,BCC,2907.38,-0.099,-0.029,['Mn1Nb1Os1Ru1_SS_BCC'],2546,2291,12.629980586712682,318.75,4.767112314409749,1.1252610616146723,0.3129996006387229,0.5072018466480668,7.0,-28.65,1.0242957420329064,-0.2737284306010129,-0.2510193787499997,1.3687464671318463,0.6769524004151543,unstable,unstable,unstable,unstable,stable,stable,IM
89438,Nb-Ni-Re-Ta,-0.088,-0.057,-0.224,stable,BCC,933.77,-0.167,-0.042,['Nb1Ni1Re1Ta1_SS_BCC'],2807,2526,13.971307837328306,238.5,3.571428571428564,1.0800055274231002,0.1810214075738004,0.90366540609766,6.75,-26.775,1.208382779262239,-0.3017893576971889,-0.4246106550000004,1.435017800534406,1.313977284650726,stable,unstable,unstable,unstable,unstable,stable,BCC
89443,Ni-Pd-Re-Rh,-0.04,-0.04,0.013,stable,HCP,5373.64,0.063,-0.001,['Ni1Pd1Re1Rh1_SS_HCP'],2313,2082,14.067076494270673,264.75,1.58903743813658,1.0401084395376567,0.169908063375462,4.5648166198326185,9.0,2.475,10.771892827787465,-0.248677871162664,-0.1851805649999995,4.877881418003486,-2.9783031955019146,stable,stable,stable,stable,stable,stable,FCC
89446,Mn-Nb-Os-Si,-0.112,-0.061,-0.607,stable,BCC,2754.7,-0.123,-0.02,['Mn1Nb1Os1Si1_SS_BCC'],2316,2084,9.471286213140196,218.75,10.213147899774864,1.3403397032351567,0.2607081701826776,0.1105025632456373,6.0,-41.6,0.6417070620714078,-0.2490004105545741,-0.6784951012499985,1.2310145423457068,1.2312768596485373,unstable,unstable,unstable,unstable,unstable,unstable,BCC
89448,Ni-Pd-Re-Ru,-0.042,-0.042,0.052,stable,HCP,3475.03,0.026,-0.022,['Ni1Pd1Re1Ru1_SS_HCP'],2406,2165,14.058123057799875,307.75,2.6189140043946124,1.083089647289574,0.1475423667967951,1.6805410230744784,8.75,3.4000000000000004,8.156583760020112,-0.2586765923118762,-0.1046162762500007,3.93637015360724,-1.2983967508349736,stable,unstable,unstable,stable,stable,stable,FCC
89449,Mo-Nb-Rh-Ti,-0.081,-0.079,-0.406,stable,BCC,2057.47,-0.122,-0.038,['Mo1Nb1Rh1Ti1_SS_BCC'],2456,2210,8.679245591617684,206.25,2.935066186155212,1.079702072761785,0.3284432979982998,1.3379990225488223,6.0,-29.925,0.9459883711727636,-0.2640522488437107,-0.7900007012500003,1.3405558136221951,1.485571611806973,unstable,unstable,unstable,stable,unstable,unstable,BCC
89454,Nb-Ni-Re-Ti,-0.091,-0.05,-0.325,stable,BCC,873.68,-0.15,-0.024,['Nb1Ni1Re1Ti1_SS_BCC'],2470,2223,10.446202058504875,221.0,2.9879502615814344,1.0803117908111013,0.1688749537379654,1.2910553650892018,6.5,-27.85,1.0222646617544844,-0.2655574326726244,-0.4850049787499992,1.3680152782316144,1.3687129812352792,unstable,unstable,unstable,stable,unstable,unstable,BCC
89458,Mo-Nb-Rh-V,-0.088,-0.088,-0.291,stable,BCC,2058.12,-0.125,-0.033,['Mo1Nb1Rh1V1_SS_BCC'],2516,2265,9.309790274381962,209.25,3.57142857142857,1.0800055274231013,0.3056448101964108,0.9036654060976572,6.25,-24.15,1.2008398623303036,-0.2705030366819121,-0.5250592991666672,1.4323023504389094,1.4689970103751422,stable,unstable,unstable,unstable,unstable,unstable,BCC
